# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.8220400511597483,0.9647883366563205,-0.003980118837901167,0,3.0,-0.003921920462984718,0.0,0.0,0.0
 0.1545798727131654,2.8578824566452963,0.9647858468213848,-0.003980118837901167,0.46373961813949616,3.0,-0.003921920462984718,0.0,-0.12618202280446247,0.0
 0.21812983912527042,2.8934109903693974,0.9647784063737325,-0.011998982148936228,0.6543895173758113,3.000000000000001,-0.003991595224177255,0.0,-0.167012960972215,0.0
 0.2665677901318549,2.92862762823324,0.9647660588990955,-0.020088747769972982,0.7997033703955647,3.0000000000000004,-0.004062546630909036,0.0,-0.20119628154730004,0.0
 0.3071311362175241,2.9635343461380104,0.9647488479832056,-0.028249942169525852,0.9213934086525724,3.0000000000000013,-0.004134794064095018,0.0,-0.23192628991069716,0.0
 0.34263010483837336,2.9981331199848946,0.9647268172117949,-0.036483086257415684,1.0278903145151201,2.9999999999999982,-0.004208356830745139,0.0,-0.2605332727404837,0.0
 0.37450936728844586,3.0324259256750814,0.964700010170595,-0.044788694836085885,1.1235281018653376,2.9999999999999982,-0.004283254472156834,0.0,-0.28772822060156344,0.0
 0.4036291427770587,3.0664147391097574,0.9646684704453382,-0.053167276021741476,1.210887428331176,2.9999999999999942,-0.004359505774197401,0.0,-0.31394498527528614,0.0
 0.43055123110581356,3.100101536190109,0.9646322416217562,-0.061619330645692375,1.2916536933174405,3.0,-0.004437130044441873,0.0,-0.339471776204984,0.0
 0.4556667829001604,3.133488292817324,0.9645913672855809,-0.07014535162368757,1.3670003487004811,3.0000000000000067,-0.004516146117078668,0.0,-0.3645118989605209,0.0
 0.4792612710438412,3.1665769848925893,0.9645458910225443,-0.07874582330194216,1.4377838131315235,2.999999999999995,-0.004596572991142633,0.0,-0.3892153912466585,0.0
 0.5015507222468133,3.199369588317092,0.9644958564183782,-0.08742122077258024,1.5046521667404398,3.0,-0.004678429140495384,0.0,-0.41369697696258595,0.0
 0.5227033747327023,3.2318680789920182,0.9644413070588146,-0.09617200916073267,1.568110124198107,3.0000000000000053,-0.004761732472977305,0.0,-0.4380469371116446,0.0
 0.5428533471952759,3.264074432818556,0.9643822865295855,-0.104998642880847,1.628560041585828,3.000000000000011,-0.004846501677450379,0.0,-0.46233803498059844,0.0
 0.5621096516914946,3.2959906256978924,0.9643188384164226,-0.11390156486261682,1.686328955074484,2.9999999999999942,-0.004932754139564045,0.0,-0.48663011197521555,0.0
 0.5805623545951468,3.3276186335312143,0.964251006305058,-0.12288120574286648,1.7416870637854407,3.000000000000006,-0.005020507633316817,0.0,-0.5109732423809373,0.0
 0.5982869173152304,3.3589604322197086,0.9641788337812235,-0.1319379830257319,1.7948607519456914,2.999999999999994,-0.005109778355683035,0.0,-0.5354099606174929,0.0
 0.6153473342924562,3.3900179976645624,0.9641023644306511,-0.14107230020762637,1.846042002877369,3.0000000000000067,-0.005200582999483658,0.0,-0.5599768717704146,0.0
 0.6317984524090887,3.420793305766963,0.9640216418390727,-0.15028454586770382,1.8953953572272664,3.0,-0.005292938031227272,0.0,-0.5847058398429051,0.0
 0.64768771880377,3.4512883324280965,0.9639367095922202,-0.15957509271949355,1.94306315641131,3.0,-0.005386858004647385,0.0,-0.6096248802751166,0.0
 0.6630565205240403,3.481505053549152,0.9638476112758255,-0.16894429662818536,1.989169561572121,2.999999999999993,-0.005482358238074852,0.0,-0.634758839813763,0.0
 0.6779412269116097,3.5114454450313146,0.9637543904756204,-0.17839249558572745,2.0338236807348293,3.0,-0.005579452392779787,0.0,-0.6601299215513886,0.0
 0.6923740116570507,3.5411114827757717,0.9636570907773371,-0.18792000864750347,2.077122034971152,2.999999999999977,-0.005678154269488152,0.0,-0.6857580946794412,0.0
 0.7063835089672825,3.5705051426837113,0.9635557557667073,-0.1975271348303848,2.1191505269018474,3.0,-0.005778475496988108,0.0,-0.7116614164927502,0.0
 0.7199953430612959,3.5996284006563197,0.963450429029463,-0.20721415196279466,2.1599860291838873,2.999999999999992,-0.005880427921477278,0.0,-0.7378562883641812,0.0
 0.7332325596960896,3.628483232594784,0.963341154151336,-0.21698131549721614,2.1996976790882687,3.0000000000000253,-0.005984022426456445,0.0,-0.7643576591169929,0.0
 0.7461159810365219,3.6570716144002917,0.9632279747180583,-0.22682885727440688,2.2383479431095656,3.0,-0.006089267678564155,0.0,-0.7911791878817888,0.0
 0.7586644999065774,3.6853955219740295,0.9631109343153619,-0.23675698424313668,2.275993499719732,2.999999999999991,-0.006196172592757656,0.0,-0.8183333744326188,0.0
 0.7708953256359844,3.7134569312171846,0.9629900765289785,-0.24676587713437964,2.312685976907953,2.999999999999982,-0.006304744107445154,0.0,-0.8458316629228455,0.0
 0.782824190907782,3.7412578180309435,0.9628654449446402,-0.2568556890840068,2.3484725727233453,2.999999999999972,-0.006414987471244586,0.0,-0.873684524880103,0.0
 0.7944655269241558,3.768800158316494,0.9627370831480788,-0.267026544210442,2.383396580772467,3.0,-0.006526907375268367,0.0,-0.9019015239183626,0.0
 0.805832612637216,3.796085927975023,0.9626050347250265,-0.27727853613756154,2.4174978379116476,3.000000000000039,-0.006640506239583464,0.0,-0.9304913666688586,0.0
 0.81693770259756,3.8231171029077173,0.9624693432612148,-0.28761172647174277,2.45081310779268,2.99999999999999,-0.006755785129833382,0.0,-0.9594619402666766,0.0
